Name:     Description:
pacman    "PuckMan"
pacplus   "Pac-Man Plus"
mspacman  "Ms. Pac-Man"
crush     "Crush Roller"
eyes      "Eyes"
mrtnt     "Mr. TNT"
ponpoko   "Ponpoko"
lizwiz    "Lizard Wizard"
theglob   "Glob, The"
jumpshot  "Jump Shot"
vanvan    "Van Van Car"
alibaba   "Ali Baba and 40 Thieves"
pengo     "Pengo"
jrpacman  "Jr. Pac-Man"
galaxian  "Galaxian"
pisces    "Pisces"
uniwars   "UniWar S"
warofbug  "War of the Bugs"
redufo    "Defend the Terra Attack on the Red UFO"
zigzag    "Zig Zag"
jumpbug   "Jump Bug"
levers    "Levers"
azurian   "Azurian Attack"
orbitron  "Orbitron"
mooncrst  "Moon Cresta"
moonqsr   "Moon Quasar"
checkman  "Checkman"
moonal2   "Moon Alien Part 2"
kingball  "King & Balloon"
scramble  "Scramble"
atlantis  "Battle of Atlantis"
theend    "End, The"
triplep   "Triple Punch"
mariner   "Mariner"
mars      "Mars"
devilfsh  "Devil Fish"
newsin7   "New Sinbad 7"
hotshock  "Hot Shocker"
scobra    "Super Cobra"
stratgyx  "Strategy X"
armorcar  "Armored Car"
moonwar2  "Moon War II"
spdcoin   "Speed Coin"
darkplnt  "Dark Planet"
tazmania  "Tazz-Mania"
calipso   "Calipso"
anteater  "Anteater"
rescue    "Rescue"
minefld   "Minefield"
losttomb  "Lost Tomb"
superbon  "Super Bond"
hustler   "Video Hustler"
frogger   "Frogger"
amidar    "Amidar"
turtles   "Turtles"
flyboy    "Fly-Boy"
jumpcoas  "Jump Coaster"
cclimber  "Crazy Climber"
ckong     "Crazy Kong"
rpatrolb  "River Patrol"
yamato    "Yamato"
swimmer   "Swimmer"
guzzler   "Guzzler"
friskyt   "Frisky Tom"
radrad    "Radical Radial"
seicross  "Seicross"
wiping    "Wiping"
cop01     "Cop 01"
terracre  "Terra Cresta"
galivan   "Galivan - Cosmo Police"
dangar    "Dangar - Ufo Robo"
terraf    "Terra Force"
armedf    "Armed Formation"
cclimbr2  "Crazy Climber 2"
phoenix   "Phoenix"
pleiads   "Pleiads"
naughtyb  "Naughty Boy"
popflame  "Pop Flamer"
warpwarp  "Warp & Warp"
rallyx    "Rally X"
nrallyx   "New Rally X"
jungler   "Jungler"
locomotn  "Loco-Motion"
commsega  "Commando"
bosco     "Bosconian"
galaga    "Galaga"
digdug    "Dig Dug"
xevious   "Xevious"
superpac  "Super Pac-Man"
pacnpal   "Pac & Pal"
phozon    "Phozon"
mappy     "Mappy"
digdug2   "Dig Dug II"
todruaga  "Tower of Druaga"
motos     "Motos"
grobda    "Grobda"
gaplus    "Gaplus"
polepos   "Pole Position"
polepos2  "Pole Position II"
pacland   "Pac-Land"
drgnbstr  "Dragon Buster"
skykid    "Sky Kid"
baraduke  "Baraduke"
metrocrs  "Metro-Cross"
roishtar  "Return of Ishtar, The"
genpeitd  "Genpei ToumaDen"
rthunder  "Rolling Thunder"
wndrmomo  "Wonder Momo"
shadowld  "Shadow Land"
dspirit   "Dragon Spirit"
blazer    "Blazer"
pacmania  "Pac-Mania"
galaga88  "Galaga '88"
mmaze     "Marchen Maze"
wldcourt  "World Court"
splatter  "Splatter House"
rompers   "Rompers"
blastoff  "Blast Off"
dangseed  "Dangerous Seed"
ws90      "World Stadium 90"
pistoldm  "Pistol Daimyo no Bouken"
soukobdx  "Souko Ban Deluxe"
assault   "Assault"
ordyne    "Ordyne"
mirninja  "Mirai Ninja"
phelios   "Phelios"
valkyrie  "Legend of the Valkyrie"
finehour  "Finest Hour"
burnforc  "Burning Force"
marvland  "Marvel Land"
dsaber    "Dragon Saber"
rthun2    "Rolling Thunder 2"
cosmogng  "Cosmo Gang the Video"
cosmicg   "Cosmic Guerilla"
cosmica   "Cosmic Alien"
panic     "Space Panic"
magspot2  "Magical Spot II"
devzone   "Devil Zone"
nomnlnd   "No Man's Land"
cheekyms  "Cheeky Mouse"
ladybug   "Lady Bug"
snapjack  "Snap Jack"
cavenger  "Cosmic Avenger"
mrdo      "Mr. Do!"
docastle  "Mr. Do's Castle"
dorunrun  "Do! Run Run"
dowild    "Mr. Do's Wild Ride"
jjack     "Jumping Jack"
kickridr  "Kick Rider"
radarscp  "Radar Scope"
dkong     "Donkey Kong"
dkongjr   "Donkey Kong Junior"
dkong3    "Donkey Kong 3"
mario     "Mario Bros."
hunchbkd  "Hunchback"
herbiedk  "Herbie at the Olympics"
popeye    "Popeye"
punchout  "Punch-Out!!"
spnchout  "Super Punch-Out!!"
armwrest  "Arm Wrestling"
seawolf   "Sea Wolf"
gunfight  "Gun Fight"
tornbase  "Tornado Baseball"
280zzzap  "Datsun 280 Zzzap"
maze      "Amazing Maze"
boothill  "Boot Hill"
checkmat  "Checkmate"
dplay     "Double Play"
lagunar   "Laguna Racer"
gmissile  "Guided Missile"
m4        "M-4"
clowns    "Clowns"
einnings  "Extra Innings"
dogpatch  "Dog Patch"
spcenctr  "Space Encounters"
phantom2  "Phantom II"
bowler    "4 Player Bowling"
invaders  "Space Invaders"
blueshrk  "Blue Shark"
invadpt2  "Space Invaders Part II"
invrvnge  "Invader's Revenge"
galxwars  "Galaxy Wars"
lrescue   "Lunar Rescue"
rollingc  "Rolling Crash / Moon Base"
bandido   "Bandido"
ozmawars  "Ozma Wars"
schaser   "Space Chaser"
lupin3    "Lupin III"
helifire  "HeliFire"
spacefev  "Color Space Fever"
sfeverbw  "Space Fever"
astlaser  "Astro Laser"
polaris   "Polaris"
ballbomb  "Balloon Bomber"
m79amb    "M79 Ambush"
astinvad  "Astro Invader"
spaceint  "Space Intruder"
lazercmd  "Lazer Command"
deadeye   "Dead Eye"
gypsyjug  "Gypsy Juggler"
medlanes  "Meadows Lanes"
wow       "Wizard of Wor"
robby     "Robby Roto"
gorf      "Gorf"
seawolf2  "Sea Wolf II"
spacezap  "Space Zap"
ebases    "Extra Bases"
solarfox  "Solar Fox"
kick      "Kick"
shollow   "Satan's Hollow"
tron      "Tron"
kroozr    "Kozmik Kroozr"
domino    "Domino Man"
